Zscore	area	pvalue1sides	pvalue2sides
2.873	0.997967029	0.002032971	0.004065941
2.874	0.997973455	0.002026545	0.00405309
2.875	0.997979863	0.002020137	0.004040275
2.876	0.997986251	0.002013749	0.004027497
2.877	0.997992622	0.002007378	0.004014756
2.878	0.997998974	0.002001026	0.004002051
2.879	0.998005308	0.001994692	0.003989383
2.880	0.998011624	0.001988376	0.003976752
2.881	0.998017922	0.001982078	0.003964156
2.882	0.998024201	0.001975799	0.003951597
2.883	0.998030463	0.001969537	0.003939074
2.884	0.998036706	0.001963294	0.003926588
2.885	0.998042932	0.001957068	0.003914137
2.886	0.998049139	0.001950861	0.003901722
2.887	0.998055329	0.001944671	0.003889342
2.888	0.998061501	0.001938499	0.003876999
2.889	0.998067655	0.001932345	0.003864691
2.890	0.998073791	0.001926209	0.003852418
2.891	0.998079909	0.001920091	0.003840181
2.892	0.99808601	0.00191399	0.003827979
2.893	0.998092094	0.001907906	0.003815813
2.894	0.998098159	0.001901841	0.003803682
2.895	0.998104207	0.001895793	0.003791585
2.896	0.998110238	0.001889762	0.003779524
2.897	0.998116251	0.001883749	0.003767498
2.898	0.998122247	0.001877753	0.003755506
2.899	0.998128226	0.001871774	0.003743549
2.900	0.998134187	0.001865813	0.003731627
2.901	0.998140131	0.001859869	0.003719739
2.902	0.998146057	0.001853943	0.003707885
2.903	0.998151967	0.001848033	0.003696066
2.904	0.998157859	0.001842141	0.003684282
2.905	0.998163734	0.001836266	0.003672531
2.906	0.998169593	0.001830407	0.003660814
2.907	0.998175434	0.001824566	0.003649132
2.908	0.998181258	0.001818742	0.003637483
2.909	0.998187066	0.001812934	0.003625869
2.910	0.998192856	0.001807144	0.003614288
2.911	0.99819863	0.00180137	0.00360274
2.912	0.998204387	0.001795613	0.003591226
2.913	0.998210127	0.001789873	0.003579746
2.914	0.99821585	0.00178415	0.003568299
2.915	0.998221557	0.001778443	0.003556885
2.916	0.998227247	0.001772753	0.003545505
2.917	0.998232921	0.001767079	0.003534158
2.918	0.998238578	0.001761422	0.003522843
2.919	0.998244219	0.001755781	0.003511562
2.920	0.998249843	0.001750157	0.003500314
2.921	0.998255451	0.001744549	0.003489098
2.922	0.998261042	0.001738958	0.003477915
2.923	0.998266617	0.001733383	0.003466765
2.924	0.998272176	0.001727824	0.003455647
2.925	0.998277719	0.001722281	0.003444562
2.926	0.998283245	0.001716755	0.003433509
2.927	0.998288756	0.001711244	0.003422489
2.928	0.99829425	0.00170575	0.0034115
2.929	0.998299728	0.001700272	0.003400544
2.930	0.99830519	0.00169481	0.00338962
2.931	0.998310636	0.001689364	0.003378728
2.932	0.998316066	0.001683934	0.003367867
2.933	0.998321481	0.001678519	0.003357039
2.934	0.998326879	0.001673121	0.003346242
2.935	0.998332262	0.001667738	0.003335477
2.936	0.998337628	0.001662372	0.003324743
2.937	0.998342979	0.001657021	0.003314041
2.938	0.998348315	0.001651685	0.00330337
2.939	0.998353635	0.001646365	0.003292731
2.940	0.998358939	0.001641061	0.003282122
2.941	0.998364227	0.001635773	0.003271545
2.942	0.9983695	0.0016305	0.003260999
2.943	0.998374758	0.001625242	0.003250484
2.944	0.99838	0.00162	0.00324
